CMD: /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/llamacpp-master/build/bin/llama-server -m /home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf --host 127.0.0.1 --port 18210 -ngl 999 -c 8192 -fa on -ctk q8_0 -ctv q8_0 --no-webui --parallel 1 --jinja --fit off --spec-type draft-mtp --spec-draft-n-max 3
0.00.069.958 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.070.028 I srv          init: The UI is disabled
0.00.070.028 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.070.066 W srv  llama_server: -----------------
0.00.070.066 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.070.066 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.070.066 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.070.066 W srv  llama_server: -----------------
0.00.071.270 I srv    load_model: loading model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.01.920.090 I cmn          init: llama threadpool init, n_threads = 8
0.02.012.380 I common_speculative_init_result: creating MTP draft context against the target model '/home/thc1006/dev/qwen3.8-speculative-decoding-rtx3090/models/target/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.02.089.417 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.02.106.171 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.106.201 I srv  llama_server: model loaded
0.02.106.203 I srv  llama_server: listening on http://127.0.0.1:18210
0.02.236.261 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.236.309 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.02.707.255 I slot print_timing: id  0 | task 0 | prompt eval time =     356.00 ms /    25 tokens (   14.24 ms per token,    70.23 tokens per second)
0.02.707.259 I slot print_timing: id  0 | task 0 |        eval time =     114.92 ms /     3 tokens (   57.46 ms per token,    17.40 tokens per second)
0.02.707.259 I slot print_timing: id  0 | task 0 |       total time =     470.92 ms /    28 tokens
0.02.707.261 I slot print_timing: id  0 | task 0 |    graphs reused =          1
0.02.707.263 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (    3 accepted /     3 generated), mean len =  4.00
0.02.707.294 I slot      release: id  0 | task 0 | stop processing: n_tokens = 29, truncated = 0
0.02.709.485 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 118421550873
0.02.778.327 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.03.235.804 I slot print_timing: id  0 | task 5 | prompt eval time =     457.45 ms /    95 tokens (    4.82 ms per token,   207.67 tokens per second)
0.03.235.808 I slot print_timing: id  0 | task 5 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
0.03.235.809 I slot print_timing: id  0 | task 5 |       total time =     457.45 ms /    96 tokens
0.03.235.809 I slot print_timing: id  0 | task 5 |    graphs reused =          1
0.03.235.838 I slot      release: id  0 | task 5 | stop processing: n_tokens = 95, truncated = 0
0.03.237.706 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.03.237.744 I slot launch_slot_: id  0 | task 9 | processing task, is_child = 0
0.03.692.753 I slot print_timing: id  0 | task 9 | prompt eval time =     455.00 ms /    95 tokens (    4.79 ms per token,   208.79 tokens per second)
